"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_pre","motivo_indisp_pos","horas_trabalho","ano","motivo_indisp","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"35","16 e 17 anos",21,17.5120965017408,0.0195414602573996,0.124880421910618,0.0742944145261793,0.028755641063027,0.23587733866293,2.51419614338105,485.224556110015,NA,3.34215027969759,33.3169486178477,2018,3.34215027969759,0.553866477384755,0.126227374896486,0.019204227296029,0,0.153949288221144,0.146752632201585,0.0705044387860436,0.510642272186557,0.0435472929795413,0.0486349381126065,0.0348466824621253
"36","16 e 17 anos",22,17.5463953206659,0.00918042432423078,0.169738344927837,0.0556735349824944,0.011542588170145,0.244029695774063,3.00017545706566,361.292144495413,NA,2.61983776315609,25.2398498087518,2018,2.61983776315609,0.474084991402604,0.110537951363301,0.0267747482191108,0.00263185598484051,0.101659823841106,0.284310629189037,0.0774523617361805,0.710312846258019,0.0237473154316512,0.0265789365689507,0.0272492236980698
"37","16 e 17 anos",23,17.5330616376006,0.00559960712916826,0.185200268302031,0.174480318443167,0.0235632665772327,0.259995448447681,2.25427866544388,483.332270029674,NA,2.96970272286954,29.6468825482117,2018,2.96970272286954,0.625854118498043,0.0895516604451104,0.0466552138363968,0.00483085547475426,0.108616747826761,0.124491403918935,0.0633717310774475,0.634295705310192,0.0374764337340886,0.0130072542154365,0.0378119908693137
"38","16 e 17 anos",24,17.5010480739493,0.00668361911961788,0.153431153568606,0.199745006374841,0.0241142916050995,0.185285729012749,2.57722031656817,404.196375793401,NA,2.93338370321044,27.3084266644625,2018,2.93338370321044,0.581972971856015,0.0444683225193206,0.0542629251560111,0,0.172252758606439,0.147043021862214,0.0602261522109388,0.642049456389504,0.0391092215292807,0.0185429445888665,0.0428741564112743
"39","16 e 17 anos",25,17.4993430273301,0.012278089231488,0.184967005372576,0.131510686864495,0.0294177762205092,0.21941427236627,2.59206635167749,491.331190448858,NA,3.08190973923458,30.3886943811822,2018,3.08190973923458,0.571739352119379,0.0525850640742377,0.0374587851388558,0,0.226520276012101,0.111696522655427,0.0653165659535086,0.607675975828842,0.0313245141270619,0.0177255158146878,0.0313789536719473
"40","16 e 17 anos",26,17.5402923885903,0.00685504350550015,0.156251805759575,0.216705556995938,0.0338585622656314,0.289253031395126,2.39455896745779,542.939717339789,NA,2.89850750494274,32.2585637386836,2018,2.89850750494274,0.585836187912894,0.0796274773672621,0.058646317592366,0.00891546366528016,0.163980303401028,0.10299425006117,0.0463272730704441,0.672075761936893,0.0329924926979573,0.020370221821665,0.0418351602202645
"41","16 e 17 anos",27,17.4803408197874,0.0181163916118625,0.0980105058526699,0.312430735131142,0.0301278074202755,0.209819249700128,2.4687868852459,551.111599493407,NA,3.24523783124515,32.0617704918033,2018,3.24523783124515,0.557377049180328,0.0967868852459016,0.0655737704918033,0,0.160459016393443,0.119803278688525,0.0758066304468345,0.525900875928595,0.0327641645415234,0.0683113427209225,0.0372103337398825
"42","16 e 17 anos",28,17.5252231421397,0.0105790507446359,0.149623331095696,0.162440650570765,0.0680863230650655,0.18732751547699,2.51626970815163,540.995445622301,NA,3.0819567240577,30.7141227775914,2018,3.0819567240577,0.58980207983898,0.059979872525998,0.0450855417645086,0,0.159543777255954,0.145588728614559,0.0777881185047309,0.598844423762991,0.0196603071195905,0.0198929734760354,0.0349581200558399
"43","16 e 17 anos",29,17.5059776822834,0.00881013622199601,0.167501379315704,0.119974168241288,0.033012270081671,0.177306177003116,2.45110615588906,474.483966739986,NA,3.39684967071935,28.7203333917938,2018,3.39684967071935,0.602401890779111,0.0757480854191199,0.0216053249150235,0.00172040855527439,0.165635256683286,0.132889033648185,0.0941141084093212,0.4637031408308,0.056601443768997,0.0314178064842958,0.0451272796352584
"44","16 e 17 anos",31,17.4965889885595,0.00917836713468539,0.280183957358294,0.352454937864633,0.0185923686947478,0.213262155486219,2.04066730996886,676.841286986305,NA,2.68594605123436,30.2924753538991,2018,2.68594605123436,0.68690249992539,0.0845129970255563,0.0292122200889349,0.003322622683366,0.0924862966684241,0.103563363608328,0.0638858693944744,0.693200168393538,0.0379482378370227,0.0279828590458118,0.0520134966164209
"45","16 e 17 anos",32,17.5112312844916,0.0015202020601905,0.179558032921876,0.359316798401018,0.0229613852841273,0.221799064125607,2.69625684723068,722.173812146004,NA,2.62077366958752,30.6748934875228,2018,2.62077366958752,0.56080340839927,0.0606208155812538,0.0485088253195374,0,0.111716372489349,0.21835057821059,0.0934245209090261,0.666395953551329,0.0335256821258104,0.0443399586806298,0.0572629479233454
"46","16 e 17 anos",33,17.541361834349,0.00287711482192634,0.105203037158152,0.414731823599523,0.0268388184485571,0.220365004673021,2.16947987211661,813.981364090455,NA,2.31951043390549,33.2938224070955,2018,2.31951043390549,0.663859190759394,0.0331568634191619,0.0615868541373028,0.00611915156932174,0.181597854859225,0.0536800852555949,0.0455849421337597,0.811461983046133,0.031533518587721,0.0420053553315894,0.0281056568148421
"47","16 e 17 anos",35,17.5124759699692,0.0047863601106582,0.236951747843664,0.46586595555992,0.0186215457512868,0.367116294434638,1.90865267222652,880.412237826458,NA,2.69041074270383,33.5282124993392,2018,2.69041074270383,0.734708107931218,0.0278160265624174,0.0700007300133668,0,0.0965404918276262,0.0709346436653719,0.0536757066010811,0.682221864190549,0.0395075164731104,0.0651805794852235,0.063439559138795
"48","16 e 17 anos",41,17.5457262557768,0.00367123051008509,0.337476784865892,0.518081494878764,0.0360817172720598,0.400391597921076,2.05945172969848,918.032905474677,NA,2.89329706175905,33.8309778805489,2018,2.89329706175905,0.689688745550248,0.0434782608695652,0.0601515197614629,0.00261660632245109,0.132503727142727,0.0715611403535461,0.0890966187102899,0.563030989069841,0.0587952481803354,0.0909162832590862,0.0508775773509579
"49","16 e 17 anos",42,17.5352544685236,0.00511846894334384,0.410507887594033,0.660346206433971,0.0352950155748379,0.279540911974737,1.90045117315789,1024.50372802201,NA,2.75130857914532,34.552111038129,2018,2.75130857914532,0.718334428065339,0.0256274967965629,0.107161700890502,0.00351032098978131,0.076860954678095,0.0685050985797198,0.0614948493878417,0.661175656521691,0.0351558576355175,0.0642849968192319,0.062476981283691
"50","16 e 17 anos",43,17.5282542952604,0.00613089814191197,0.288452649789364,0.525252525252525,0.0206707341230538,0.276246979121271,2.18514213944944,908.73259011988,NA,2.74193937283163,34.1393744552024,2018,2.74193937283163,0.624954307298648,0.0484764413118257,0.135681547646943,0.0053706498205097,0.078394616228173,0.107122437693901,0.0580217807723735,0.65531860742368,0.0435146611656598,0.0592943351238396,0.0975446398671185
"51","16 e 17 anos",50,17.5076454090965,0.00657236922326546,0.255285940738934,0.511168678821057,0.0279721985123765,0.225545665162785,1.6654570945528,898.763493578619,NA,2.71858987046689,35.3011834563523,2018,2.71858987046689,0.800956661580966,0.0302255577089605,0.0428435940785947,0,0.0803265844707435,0.0456476021607356,0.0446658309691892,0.70304149897737,0.0524730047722724,0.0313166633678608,0.0258626377251435
"52","16 e 17 anos",51,17.5243792773776,0.00412710733318819,0.311549274443172,0.475349139330952,0.0545989795821777,0.27066630065409,1.98018442729109,896.633696113074,NA,2.807852814167,33.7592084132,2018,2.807852814167,0.73737242915609,0.0264725690307206,0.0372999015697042,0,0.115163446096462,0.0836916541470238,0.113582755742643,0.568331095547411,0.0420582792031063,0.0804877163697064,0.0637587545814131
"53","16 e 17 anos",52,17.544055556313,0.00507205868317358,0.328906644124184,0.428999668525805,0.0393993519036127,0.269232692054229,1.57582913924377,877.828303986385,NA,2.66719490046651,37.5232158988257,2018,2.66719490046651,0.802155116789263,0.0332429990966576,0.0626145309072138,0,0.0925796877016389,0.00940766550522648,0.113430789501798,0.606077062782664,0.0573430433389124,0.062951817955201,0.0434101349667035
"54","16 e 17 anos",53,17.4735111242704,0.0040499957702394,0.177797986633957,0.587969272704745,0.0197001099737755,0.333231114118941,1.81631570572323,893.303684181628,NA,2.44199615716829,29.7679414416804,2018,2.44199615716829,0.687264626319419,0.0699092982549196,0.12942237309712,0,0.0794568503686416,0.0339468519599003,0.0280985034109538,0.811137160887729,0.0338627509739287,0.0069276736766028,0.0575190819510303
"55","18 a 20 anos",11,20.0063730610034,0.00283354609106031,0.437149433290782,0.569705333640011,0.136890255696105,0.589977176898379,2.01630188976068,1056.73076595201,NA,2.69575200918485,39.6863115253771,2018,2.69575200918485,0.725640571844336,0.0259571706683971,0.0384244783985212,0.00371659489115686,0.128959943366173,0.077301240831416,0.290139048348004,0.393060339328996,0.0587319811200408,0.0109707870901901,0.0831738742186503
"56","18 a 20 anos",12,20.0101665277241,0.0132164860413574,0.328561842988146,0.396380155754254,0.143876700351762,0.604786401252516,2.45166726242149,849.757022631639,NA,3.07361143120535,35.9809528672828,2018,3.07361143120535,0.505846908032477,0.105397538681509,0.152019608844406,0.00321707603533677,0.135015064086197,0.0985038043200735,0.25609587462549,0.318598755473611,0.102189444572482,0.00797418760082968,0.0489974648536529
"57","18 a 20 anos",13,20.0082571962096,0.00615916322435459,0.295827003686792,0.391823365758371,0.0776620425787524,0.58746664693413,3.1074241149935,822.83470502801,NA,2.61281299946724,33.0830884842659,2018,2.61281299946724,0.447172675936343,0.0264327766430374,0.115987460815047,0.00586545498235994,0.191288106342774,0.213253525280439,0.303481414696119,0.390762673660916,0.0666775951805254,0.0244867013646982,0.0577230441375353
"58","18 a 20 anos",14,19.9645861685018,0.00760856117778053,0.371396758629222,0.452388074583707,0.109519980205369,0.685543733762217,2.23708836345453,930.186199008769,NA,3.24090731325772,36.1112222301593,2018,3.24090731325772,0.568897778412744,0.0580755768269162,0.184227444817487,0.00778627044788914,0.117865561825845,0.0631473676691192,0.151505670707861,0.44677356276887,0.0446617129448573,0,0.0804849432929214
"59","18 a 20 anos",15,20.037467867667,0.0216744341574537,0.340782461493448,0.280733902572355,0.0978829233630797,0.493811782900374,2.55498872220288,768.216905793178,NA,2.98674849157839,35.2595810815584,2018,2.98674849157839,0.557880076900952,0.0537852525772416,0.0759068913143301,0.00160967216175439,0.209529864716894,0.101288242328827,0.249390735244983,0.366615239480356,0.0785361922918182,0.00490359859279495,0.0544211002142254
