"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"307","60 a 64 anos",23,62.9801327868297,0.345963890112124,0.269892618813726,0.451544369995097,0.628051217777176,0.181650350597879,3.8470580806752,1830.08227855235,3.56026973158369,NA,35.5270934405355,2014,0.171968891741999,0.0467255296086211,0.146522420887575,0.0665628321564253,0.53350241520474,0.0347179104006398,1,NA,1,1,1
"308","60 a 64 anos",24,62.9186564936761,0.31927396186994,0.222456441443122,0.387467633350596,0.615238965787412,0.251408424430101,3.2898204872489,1726.83686323621,3.61901226349881,NA,36.5063755520729,2014,0.259759224960821,0.0302749679441516,0.268734862516028,0.0563826755948141,0.371313577432683,0.0135346915515031,1,NA,1,1,1
"309","60 a 64 anos",25,62.9611337717473,0.342237575959377,0.298618163656039,0.304888152444076,0.655906101723133,0.213851660700907,3.54066570188133,1479.93374693033,3.83372108052217,NA,35.1717076700434,2014,0.210154365653642,0.0591654606849976,0.212059816690786,0.041027496382055,0.453666184273999,0.02392667631452,1,NA,1,1,1
"310","60 a 64 anos",26,63.0701980944378,0.313676301578082,0.25116162677179,0.606013692503526,0.65489798692552,0.220356891289035,3.65859559179303,2063.66381163398,3.58662935489918,NA,35.5873662970856,2014,0.224734138381873,0.0522046182196279,0.129425450652172,0.0604712931220853,0.499696305218403,0.0334681944058392,1,1,1,1,1
"311","60 a 64 anos",27,62.9243643487603,0.407417159950285,0.211750331781509,0.725900966891298,0.661277411472267,0.173853510564345,3.69403957332465,1397.07434030077,3.58083661473492,NA,35.7412669978015,2014,0.204706457128898,0.0254865238987053,0.207434248025405,0.0381076459571696,0.481964009445485,0.0423011155443368,1,NA,1,1,1
"312","60 a 64 anos",28,63.0112698732139,0.317553446754493,0.274966329705714,0.768722466960352,0.68314318002384,0.178119726922303,4.11563626019344,1713.35851189559,3.78487601961377,NA,35.0551868006827,2014,0.123601365446615,0.0119476578797648,0.172909159871041,0.0378816612933814,0.624075478854542,0.0295846766546558,1,1,1,1,1
"313","60 a 64 anos",29,62.970313528129,0.310354894708357,0.317092122608565,0.368399309858813,0.67538688531217,0.216658020557528,3.85716500663599,1683.23884629137,3.69288802390049,NA,37.3558874238722,2014,0.195203482963496,0.0461852370970343,0.0916696642314037,0.0754083923543494,0.556250852755486,0.0352823705982312,1,1,1,1,1
"314","60 a 64 anos",31,62.9899025269882,0.142286059710687,0.343413766353599,0.536731517509728,0.617113945145711,0.236193453320434,3.33229287434228,1657.81178083846,3.48560920353109,NA,38.9023386316707,2014,0.281448730525695,0.0869046230680049,0.115213111155321,0.0832069918844199,0.400791663522422,0.032434879844137,1,NA,1,1,1
"315","60 a 64 anos",32,62.7587361632197,0.137251558091222,0.320990046820254,0.710178027641134,0.643894762953087,0.272557440079377,3.46240937098565,1945.02031003137,3.54677706790161,NA,38.4343007685776,2014,0.291754664808727,0.0421084717716475,0.115090683446189,0.0528424307082671,0.459426506129025,0.0387772431361449,1,NA,1,1,1
"316","60 a 64 anos",33,62.952514213256,0.0620888029684138,0.316659391142569,0.632969460932088,0.629230197582447,0.365558708282665,3.15599481034877,2555.59553987103,3.53367391089234,NA,40.926236257667,2014,0.27203492972682,0.131066810734384,0.149491679285981,0.0680559293371948,0.374976401547255,0.00437424936836482,1,1,1,1,1
