ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,2992,AM,Presidente,NÃO ELEITO,1980
2022,2,3000,RR,Presidente,ELEITO,1019
2022,2,3000,RR,Presidente,NÃO ELEITO,4135
2022,2,3018,RR,Presidente,ELEITO,37412
2022,2,3018,RR,Presidente,NÃO ELEITO,144799
2022,2,3026,RR,Presidente,ELEITO,1258
2022,2,3026,RR,Presidente,NÃO ELEITO,2980
2022,2,3034,RR,Presidente,ELEITO,2729
2022,2,3034,RR,Presidente,NÃO ELEITO,7077
2022,2,3042,RR,Presidente,ELEITO,1066
2022,2,3042,RR,Presidente,NÃO ELEITO,3610
2022,2,3050,RR,Presidente,ELEITO,2123
2022,2,3050,RR,Presidente,NÃO ELEITO,6030
2022,2,3069,RR,Presidente,ELEITO,2660
2022,2,3069,RR,Presidente,NÃO ELEITO,7107
2022,2,3077,RR,Presidente,ELEITO,2382
2022,2,3077,RR,Presidente,NÃO ELEITO,5199
2022,2,3085,RR,Presidente,ELEITO,3946
2022,2,3085,RR,Presidente,NÃO ELEITO,10843
2022,2,3093,RR,Presidente,ELEITO,1991
2022,2,3093,RR,Presidente,NÃO ELEITO,7412
2022,2,3107,RR,Presidente,ELEITO,3530
2022,2,3107,RR,Presidente,NÃO ELEITO,1646
2022,2,3115,RR,Presidente,ELEITO,2526
2022,2,3115,RR,Presidente,NÃO ELEITO,3517
2022,2,3123,RR,Presidente,ELEITO,2165
2022,2,3123,RR,Presidente,NÃO ELEITO,3838
2022,2,3131,RR,Presidente,ELEITO,1223
2022,2,3131,RR,Presidente,NÃO ELEITO,2471
2022,2,3158,RR,Presidente,ELEITO,1098
2022,2,3158,RR,Presidente,NÃO ELEITO,2854
2022,2,4006,PA,Presidente,ELEITO,8674
2022,2,4006,PA,Presidente,NÃO ELEITO,6556
2022,2,4014,PA,Presidente,ELEITO,72313
2022,2,4014,PA,Presidente,NÃO ELEITO,25118
2022,2,4022,PA,Presidente,ELEITO,20804
2022,2,4022,PA,Presidente,NÃO ELEITO,18071
2022,2,4030,PA,Presidente,ELEITO,24668
2022,2,4030,PA,Presidente,NÃO ELEITO,11026
2022,2,4049,PA,Presidente,ELEITO,4579
2022,2,4049,PA,Presidente,NÃO ELEITO,3763
